Pay Date,-140 BPs,-120 BPs,-100 BPs,  -80  BPs,  -60  BPs,  -40 BPs,  -20 BPs,      0 BPs,    20 BPs,    40 BPs,    60 BPs,    80 BPs, 100 BPs, 120 BPs, 140 BPs
07/39,11.76,11.53,11.23,10.9,10.55,10.15,9.57,8.93,8.17,7.73,7.37,7.01,6.84,6.66,6.49
08/39,11.37,11.15,10.87,10.55,10.21,9.83,9.26,8.65,7.93,7.5,7.16,6.82,6.65,6.49,6.32
09/39,12.11,11.88,11.58,11.25,10.89,10.49,9.89,9.24,8.47,8.02,7.66,7.29,7.11,6.94,6.76
10/39,10.65,10.43,10.17,9.88,9.57,9.21,8.69,8.13,7.46,7.07,6.76,6.45,6.3,6.15,6
11/39,10.98,10.76,10.5,10.2,9.87,9.51,8.98,8.4,7.71,7.31,6.99,6.68,6.52,6.37,6.21
12/39,9.51,9.31,9.08,8.82,8.54,8.22,7.77,7.27,6.68,6.35,6.09,5.83,5.7,5.57,5.44
01/40,9.51,9.3,9.07,8.81,8.52,8.2,7.74,7.24,6.66,6.34,6.08,5.82,5.69,5.57,5.44
02/40,8.99,8.79,8.56,8.32,8.05,7.74,7.31,6.84,6.29,6,5.76,5.53,5.41,5.3,5.18
03/40,8.41,8.22,8.02,7.8,7.56,7.28,6.89,6.46,5.96,5.69,5.48,5.26,5.16,5.05,4.95
04/40,10.54,10.33,10.08,9.8,9.51,9.16,8.67,8.14,7.5,7.14,6.86,6.57,6.43,6.29,6.15
05/40,10.8,10.6,10.35,10.07,9.77,9.43,8.94,8.4,7.76,7.39,7.1,6.8,6.66,6.51,6.37
06/40,11.72,11.51,11.24,10.94,10.63,10.27,9.73,9.16,8.47,8.06,7.74,7.41,7.25,7.09,6.93
07/40,12.39,12.18,11.9,11.59,11.26,10.88,10.32,9.72,8.99,8.56,8.21,7.86,7.69,7.52,7.35
08/40,12.01,11.81,11.54,11.24,10.92,10.56,10.02,9.44,8.75,8.34,8,7.67,7.51,7.35,7.19
09/40,12.74,12.52,12.24,11.92,11.59,11.21,10.64,10.02,9.29,8.85,8.49,8.14,7.97,7.79,7.62
10/40,11.31,11.11,10.87,10.59,10.29,9.96,9.46,8.93,8.29,7.92,7.61,7.31,7.17,7.02,6.87
11/40,11.63,11.43,11.18,10.89,10.59,10.25,9.74,9.19,8.54,8.15,7.84,7.54,7.39,7.23,7.08
12/40,10.2,10.01,9.8,9.55,9.29,8.99,8.56,8.09,7.53,7.22,6.96,6.71,6.58,6.46,6.33
01/41,10.18,9.99,9.78,9.53,9.27,8.96,8.53,8.06,7.51,7.2,6.94,6.7,6.57,6.45,6.33
02/41,9.67,9.49,9.28,9.05,8.8,8.51,8.11,7.67,7.15,6.87,6.64,6.41,6.3,6.19,6.08
03/41,9.12,8.95,8.76,8.55,8.32,8.07,7.7,7.3,6.83,6.57,6.36,6.15,6.05,5.95,5.85
04/41,11.2,11,10.77,10.51,10.23,9.91,9.44,8.94,8.34,7.99,7.71,7.43,7.3,7.16,7.03
05/41,11.46,11.27,11.04,10.77,10.49,10.18,9.71,9.2,8.59,8.24,7.95,7.66,7.52,7.38,7.24
06/41,12.36,12.16,11.92,11.63,11.33,11,10.49,9.94,9.29,8.89,8.58,8.26,8.1,7.95,7.8
07/41,13.13,12.93,12.67,12.37,12.06,11.71,11.18,10.6,9.91,9.49,9.16,8.82,8.65,8.49,8.32
08/41,12.87,12.68,12.43,12.15,11.85,11.51,11,10.45,9.79,9.39,9.07,8.75,8.59,8.43,8.28
09/41,13.68,13.48,13.22,12.92,12.6,12.25,11.71,11.13,10.43,10,9.66,9.32,9.15,8.98,8.82
10/41,12.4,12.22,11.99,11.73,11.45,11.14,10.68,10.17,9.57,9.21,8.92,8.63,8.48,8.34,8.2
11/41,12.82,12.64,12.4,12.14,11.85,11.54,11.06,10.54,9.92,9.55,9.26,8.96,8.81,8.67,8.52
12/41,11.54,11.37,11.17,10.94,10.7,10.43,10.02,9.58,9.06,8.75,8.51,8.26,8.14,8.02,7.9
01/42,11.63,11.46,11.26,11.03,10.78,10.51,10.1,9.67,9.15,8.85,8.61,8.37,8.25,8.13,8.02
02/42,11.5,11.33,11.13,10.91,10.67,10.4,10.02,9.59,9.09,8.81,8.58,8.36,8.24,8.13,8.02
03/42,11.07,10.91,10.73,10.53,10.32,10.07,9.72,9.33,8.88,8.62,8.41,8.21,8.11,8,7.9
